Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Myracle, Lauren","l8r, g8r",Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Hopkins, Ellen",Identical,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Hopkins, Ellen",Impulse,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Scott, Elizabeth",Living Dead Girl: A Novel,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Green, John",Looking for Alaska,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Rennison, Louise","On the Bright Side, I'm Now the GIrlfriend of a Sex God",Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Myracle, Lauren",SHine,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Vonnegut, Kurt",Slaughterhouse-Five,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"McCormick, Patricia",Sold,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Anderson, Laurie Halse",Speak,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Stein, Garth",The Art of Racing in the Rain,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Morrison, Toni",The Bluest Eye,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Wells, Jeanette",The Glass Castle,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Cisneros, Sandra",The House on Mango Street,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Hosseini, Khaled",The Kite Runner,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Levithan, David",The Realm of Possibility,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Asher, Jay",Thirteen Reasons Why,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Mead, Richelle",Vampire Academy,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Gruen, Sara",Water for Elephants,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Koertge, Ron",Boy Girl Boy,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Lund, Cameron",The Best Laid Plans,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,
"Kobabe, Maia",Gender Queer,Harlem School District 122,Illinois,yes,,Formal Challenge Filed,BANNED,board over-ruled committe recommendation. Said it was picture,,,,,,,
"Evison, Jonathan",Lawn Boy,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Jackson, Tiffany D",MOnday's Not Coming,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Morrison, Toni",The Blues Eye,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Sanchez, Erika L.",I am Not Your Perfect Mexican Daughter,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Sones, Sonya",The Opposite of Innocent,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Andrews, Jesse",The Haters,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Arnold, Elana K",Infandous,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Arnold, Elana K",Damsel,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Arnold, Elana K.",Red Hood,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Asher, Jay",Thirteen Reasons Why,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - RESTRICTIONS,,"8th grade and above and must come with warning that ""contains topics that could be disturbing",,,,,,
"Asher, Jay",Thirteen Reasons Why,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - RESTRICTIONS,,"8th grade and above and must come with warning that ""contains topics that could be disturbing",,,,,,
"Bechdel, Alison",Fun Home,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Belge, Kathy",Queer - The Ultimate LGBT Guide for Teens,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED with ReSTRICTIONS,,Grade 10 and Higher,,,,,,
"Blakemore, MT",White Privilege,St. Johns County School District,Florida,n/a,12/21,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED no RESTRICTIONS,,,,,,,,
"Choi, Mary HK",Yolk,St. Johns County School District,Florida,n/a,3/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Ford, Clementine","Boys Will Be Boys: POwer, Patriarchy, and Toxic Masculinity",St. Johns County School District,Florida,n/a,12/21,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Herthel, Jessicas and Jazz Jennings",I Am Jazz,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopkins, Ellen",Tricks,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopkins, Ellen",Tilt,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopkins, Ellen",People Kill People,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopkins, Ellen",Impulse,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopkins, Ellen",Crank,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Hopper, Laura",I Never,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Jewell, Tiffany",THis Book is Anti-Racist,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - No restrictions,,,,,,,,
"Johnson, Cathy G",The Breakaways,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - RESTRICTED,,Grade 6 and abov e,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Johnson, George M",All Boys Aren't Blue,St. Johns County School District,Florida,n/a,1/22/2022 - MOMS FOR LIBERTY,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
"Kuklin, Susan",Beyond Magenta,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Kuklin, Susan",Beyond Magenta,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Lo, Malinda",Last Night at the Telegraph Club,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J",Tower of Dawn,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",House of Earth and Blood,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",Empire of Storms,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Wings and Ruin,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Thorn and Roses,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - Restricted,,High School Only Removed Middle School,,,,,,
"McCormick, Patricia",Sold,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - REstricted,,Grade 8 and above,,,,,,
"McGinnis, Mindy",Heroine,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"McMann, Lisa",Fade,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED NO RESTRICTIONS,,,,,,,,
"Morrison, Toni",The Bluest Eye,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,RETAINED - No restrictions,,,,,,,,
"Myracle, Lauren",ttyl,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED NO RESTRICTIONS,,,,,,,,
"Myracle, Lauren",ttyl,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED NO RESTRICTIONS,,,,,,,,
"Myracle, Lauren",ttfn,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED NO RESTRICTIONS,,,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Myracle, Lauren","l8r, g8r",St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Reed, Amy",Nowhere Girls,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Rhodes, Jewell Parker","Black Borther, Black Brother",St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,Location Unknown,,,,,,,,
Sapphire,Push,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
Sapphire,Push,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Scott, Elizabeth",Living Dead Girl: A Novel,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Sebold, Alice",Lucky,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - RESTRICTED,,Grade 11 and 12 - with content warning,,,,,,
"Stassen, JP",Deogratias,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Tamaki, Mariko",This One Summer,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Tamaki, Mariko",Laura Dean Keeps Breaking Up With Me,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Thorn, Theresa",It Feels Good To Be Yourself,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,When Aidan Became a Brother,St. Johns County School District,Florida,n/a,3/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,When Aidan Became a Brother,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,When Aidan Became a Brother,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,Trans +,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,Peanut Goes for Gold,St. Johns County School District,Florida,n/a,2/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,Neanderthal Opens the Door to the Universe,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,Peanut Goes for Gold,St. Johns County School District,Florida,n/a,2/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,Ho'oamani: Hula Warrior,St. Johns County School District,Florida,n/a,2/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,My Rainbow,St. Johns County School District,Florida,n/a,2/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,My Rainbow,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,Me and White Supremacy,St. Johns County School District,Florida,n/a,12/21,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,Ho'oamani: Hula Warrior,St. Johns County School District,Florida,n/a,2/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,
,Felix Ever After,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
,Eleanor & Park,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,
"Morrison, Toni",The Bluest Eye,Sarasota County School,Florida,yes,,No Challenge Filed,Removed - returned but restricted,,,,,,,,
"McCormick, Patricia",Sold,Sarasota County School,Florida,yes,,No Challenge Filed,Removed - returned but restricted,,,,,,,,
"Ward, Jesmyn",Salvage the Bones,Guilford County Schools,North Carolina,n/a,,No Challenge Filed,unclear,,,,,,,,
"Gino, Alex",Rick,Hernando,Florida,,2/3/22,Unknown,Emails from M4L chapter chair in Feb address the fact that ebook versions of Alex Gino's books are still available even though they were removed from schools in Nov/Dec of 2021. No challenge forms or review documents were provided by the District in PRR,,,,,,,,
"Gino, Alex",Melissa (George),Hernando,Florida,,2/3/22,Unknown,Emails from M4L chapter chair in Feb address the fact that ebook versions of Alex Gino's books are still available even though they were removed from schools in Nov/Dec of 2021. No challenge forms or review documents were provided by the District in PRR,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-time Indian,Hernando,Florida,,1/29/22,Formal Challenge Filed,Book was deemed inappropriate for ES level and removed from the one ES school without a formal review,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Morrison, Toni",Beloved,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Kuklin, Susan",Beyond Magenta,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Thompson, Craig",Blankets,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Callender, Kacen",Felix Ever After,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Harris, Robie",It's Perfectly Normal,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Evison, Jonathan",Lawn Boy,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Jackson, Tiffany",Monday's Not Coming,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Picoult, Jodi",My Sister's Keeper,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,
